%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211065, 2021/04/1 1:24:59.65)
1 7  5.402055000000000000e+06 0 0 6.883084e-01 6.579022e-01 
2 13  2.001018000000000000e+06 0 0 6.438438e-01 9.742202e-01 
3 19  4.909190000000000000e+06 0 0 7.828094e-01 1.227140e+00 
4 25  6.698280000000000000e+05 0 0 5.583706e-01 8.123326e-01 
5 31  5.320021000000000000e+06 0 0 7.283941e-01 7.662240e-01 
6 37  1.468910000000000000e+06 0 0 4.915215e-01 5.236136e-01 
7 43  4.059360000000000000e+05 0 0 3.616578e-01 3.872010e-01 
8 49  4.383800000000000000e+05 0 0 4.398036e-01 6.700328e-01 
9 55  2.368450000000000000e+05 0 0 3.149187e-01 3.646654e-01 
10 61  2.756070000000000000e+05 0 0 4.157812e-01 4.832274e-01 
11 67  2.115910000000000000e+05 0 0 2.587971e-01 3.400432e-01 
12 73  3.821000000000000000e+05 0 0 2.840446e-01 3.120403e-01 
13 79  2.064260000000000000e+05 0 0 2.372102e-01 3.373095e-01 
14 85  1.884640000000000000e+05 0 0 3.347049e-01 3.947463e-01 
15 91  2.436070000000000000e+05 0 0 2.827561e-01 3.421189e-01 
16 97  1.909480000000000000e+05 0 0 2.728981e-01 3.567292e-01 
17 103  2.037550000000000000e+05 0 0 2.654299e-01 3.612218e-01 
18 109  1.881620000000000000e+05 0 0 2.784642e-01 3.591308e-01 
19 115  2.061890000000000000e+05 0 0 2.476087e-01 3.431678e-01 
20 121  1.768060000000000000e+05 0 0 2.991160e-01 3.691230e-01 
21 127  1.988770000000000000e+05 0 0 2.582757e-01 3.583682e-01 
22 133  1.871020000000000000e+05 0 0 2.886425e-01 3.646726e-01 
23 139  1.592180000000000000e+05 0 0 3.034808e-01 3.831322e-01 
24 145  1.496980000000000000e+05 0 0 3.307031e-01 4.113851e-01 
25 151  1.632510000000000000e+05 0 0 3.233388e-01 4.012508e-01 
26 157  1.678400000000000000e+05 0 0 3.093475e-01 3.954524e-01 
27 163  1.515380000000000000e+05 0 0 3.339921e-01 4.049767e-01 
28 169  1.480290000000000000e+05 0 0 3.283820e-01 4.043550e-01 
29 175  1.457980000000000000e+05 0 0 3.361339e-01 4.201413e-01 
30 181  1.641200000000000000e+05 0 0 3.073061e-01 3.940142e-01 
31 187  1.532480000000000000e+05 0 0 3.279589e-01 4.079008e-01 
32 193  1.401360000000000000e+05 0 0 3.346338e-01 4.146744e-01 
33 199  1.445300000000000000e+05 0 0 3.376397e-01 4.097106e-01 
